1,1,0.01639344262295082,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
1,2,0.01639344262295082,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 15])
2,1,0.03278688524590164,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
2,2,0.03278688524590164,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
3,1,0.04918032786885246,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
3,2,0.04918032786885246,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 512gb, Monitor: 15])
4,1,0.06557377049180328,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
4,2,0.06557377049180328,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 15])
5,1,0.08196721311475409,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
5,2,0.08196721311475409,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 15])
6,1,0.09836065573770492,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
6,2,0.09836065573770492,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 15])
7,1,0.11475409836065574,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
7,2,0.11475409836065574,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 15])
8,1,0.13114754098360656,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
8,2,0.13114754098360656,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 15])
9,1,0.14754098360655737,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
9,2,0.14754098360655737,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
10,1,0.16393442622950818,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
10,2,0.16393442622950818,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
11,1,0.18032786885245902,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
11,2,0.18032786885245902,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
12,1,0.19672131147540983,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
12,2,0.19672131147540983,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
13,1,0.21311475409836064,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
13,2,0.21311475409836064,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
14,1,0.22950819672131148,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
14,2,0.22950819672131148,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
15,1,0.2459016393442623,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
15,2,0.2459016393442623,ConcederNegotiationParty@21,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
16,1,0.26229508196721313,BoulwareNegotiationParty@20,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
16,2,0.26229508196721313,ConcederNegotiationParty@21,(Accept  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
agreement,Bid[price: 1000, HardDisk: 1tb, Monitor: 17],0.9999999999999999,0.5105656885602594
