1,1,0.01639344262295082,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
1,2,0.01639344262295082,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1400, HardDisk: 256gb, Monitor: 15])
2,1,0.03278688524590164,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
2,2,0.03278688524590164,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 15])
3,1,0.04918032786885246,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
3,2,0.04918032786885246,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1400, HardDisk: 512gb, Monitor: 17])
4,1,0.06557377049180328,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
4,2,0.06557377049180328,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1400, HardDisk: 1tb, Monitor: 15])
5,1,0.08196721311475409,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
5,2,0.08196721311475409,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1400, HardDisk: 1tb, Monitor: 17])
6,1,0.09836065573770492,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
6,2,0.09836065573770492,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1400, HardDisk: 1tb, Monitor: 17])
7,1,0.11475409836065574,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
7,2,0.11475409836065574,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 256gb, Monitor: 15])
8,1,0.13114754098360656,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
8,2,0.13114754098360656,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 256gb, Monitor: 15])
9,1,0.14754098360655737,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
9,2,0.14754098360655737,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 256gb, Monitor: 17])
10,1,0.16393442622950818,BoulwareNegotiationParty@28,(Offer  bid:Bid[price: 1000, HardDisk: 1tb, Monitor: 17])
10,2,0.16393442622950818,ConcederNegotiationParty@29,(Offer  bid:Bid[price: 1200, HardDisk: 256gb, Monitor: 17])
